feature,mean_abs_shap
out_count_march,1.9818334164065374
march_activity_share,0.6051610995331732
out_count_total,0.3148827896144495
balance_trend_last_14d_march,0.220844618553768
zero_balance_days_last_7d_march,0.15200614326234765
trx_count_decay_jan_march,0.13354153995954388
recency_pressure,0.09234787543173642
mean_balance_last_7d_march,0.09034018949842758
final_to_mean_balance_ratio_march,0.08345551383712309
balance_stability_march,0.07559361353037523
std_bal_march,0.06581378826106084
out_sum_march,0.050245353051248824
balance_trend_march,0.047339365831963486
trx_count_decay_feb_march,0.04148449769082282
mean_balance_last_7d_march_log,0.03643715369269065
out_count_feb,0.03462506700419919
out_sum_jan,0.032709654041690475
trx_count_decay_jan_feb,0.03182278755271848
final_balance_march,0.031168896733669134
mean_balance_last_14d_march,0.031054639244865526
out_std_march,0.026555865313399214
out_count_jan,0.02505324871889142
out_max_jan,0.02139977183989054
max_bal_march,0.020613872250020124
out_sum_feb,0.01814581587494716
bill_pay_ratio,0.01570995966759858
count_BillPay_march,0.014024661011430323
std_bal_march_log,0.013883387168360455
out_avg_march,0.013275148272505559
out_sum_total,0.013164507464265295
store_of_value,0.01304753340334456
digital_integration,0.012924478249869784
wallet_strain,0.012898617903021017
count_CashIn_march,0.012572039218486092
out_avg_jan,0.010917595860256049
mean_balance_last_14d_march_log,0.010800730011646588
depletion_velocity,0.01035295241686047
balance_drop_march,0.010027631281059282
merchant_pay_ratio,0.00958617343075745
balance_change_feb_march,0.009483695387776037
count_BillPay_total,0.009136274214794701
tenure_days,0.008770880823612558
zero_balance_days_march,0.008654812297351704
count_CashIn_total,0.008606783789945657
mean_bal_march,0.008596760035416382
std_bal_jan,0.008431674138114863
out_std_jan,0.008386368302749555
count_P2P_jan,0.008315653662071123
net_flow_march,0.008314957797852521
out_max_feb,0.008293721636274736
count_MerchantPay_march,0.008221297954322908
max_bal_jan,0.007948743158039324
out_std_feb,0.007462013456427614
count_MerchantPay_total,0.007457998725257526
out_max_march,0.007356536135704786
count_CashOut_march,0.0069234977072709526
max_bal_feb,0.006857574824551088
out_avg_feb,0.006790728648233056
count_BillPay_jan,0.006734827402550765
final_balance_march_log,0.006725390942442986
in_sum_jan,0.006231256806041534
balance_change_jan_march,0.005928800293773588
in_count_jan,0.005843898271250513
mean_bal_jan,0.0055424409448818455
mean_bal_feb,0.005536734522086223
network_stickiness,0.0052225209740040844
count_P2P_march,0.005059754477944243
count_MerchantPay_feb,0.004989682100662964
count_CashIn_feb,0.00487002460529683
count_MerchantPay_jan,0.004779944980921946
in_sum_march,0.0046755764424203225
std_bal_feb,0.004573468271677131
count_P2P_total,0.004540100743047221
p2p_ratio,0.004491355492648289
in_sum_feb,0.004353172022187883
mean_bal_march_log,0.004331845784398206
count_CashIn_jan,0.004240823185519307
out_sum_total_log,0.0037106231170160866
days_since_last_CashIn,0.00365399204881305
count_BillPay_feb,0.003636672829174863
count_P2P_feb,0.003367003268040298
count_CashOut_jan,0.0030895859722613233
cashout_ratio,0.0028375975688254853
count_CashOut_total,0.0027733534286577544
out_sum_march_log,0.002524192553156874
in_count_feb,0.0025101867576790026
min_bal_jan,0.0024250571107473718
in_sum_total,0.0023459931687153353
wallet_strain_log,0.0022589652625997787
in_count_march,0.0020068375498471114
min_bal_feb,0.001998977412933003
in_count_total,0.001851592265122931
in_sum_total_log,0.0016194210577230514
region_Barishal,0.001492078750414169
gender_Male,0.0014468110142255664
trx_type_diversity,0.0012289378458789275
count_CashOut_feb,0.001186739299725203
min_bal_march,0.0011856922986606426
region_Dhaka,0.0011254871468272393
network_stickiness_log,0.0008842461118475993
region_Rajshahi,0.0007976008687432508
in_sum_march_log,0.0007501866356707517
gender_Other,0.0006016425145316737
region_Sylhet,0.000514720957629855
days_since_last_BillPay,0.000505395478805938
region_Mymensingh,0.00042582194538314156
region_Chattogram,0.0003248506013301514
gender_Female,0.0002685724360987464
region_Khulna,0.00013696240146996764
flag_zero_march_trx,0.00013114574899887192
region_Rangpur,9.434254163930235e-05
days_since_last_P2P,5.788665841116505e-05
days_since_last_MerchantPay,2.388436927623973e-05
days_since_last_CashOut,1.6483757964619672e-05
days_since_last_outbound,1.0285354130045396e-05
out_sum_last_7d,0.0
out_count_last_14d,0.0
days_since_last_inbound,0.0
days_since_received_P2P,0.0
days_since_last_trx,0.0
out_count_last_7d,0.0
out_count_velocity_7d,0.0
out_count_velocity_14d,0.0
out_sum_velocity_7d,0.0
out_sum_velocity_14d,0.0
in_count_last_7d,0.0
in_sum_last_7d,0.0
in_count_last_14d,0.0
in_sum_last_14d,0.0
out_sum_last_14d,0.0
flag_zero_bill_pay,0.0
flag_zero_merchant_pay,0.0
flag_zero_trx_last_7d_march,0.0
in_sum_last_14d_log,0.0
in_sum_last_7d_log,0.0
out_sum_last_14d_log,0.0
out_sum_last_7d_log,0.0
